from,to,length,oneway,name
308261,3723904220,29.54873601472913,True,12-13-я линии В.О.
308261,1839007628,163.41444000885014,True,
308274,3723904329,37.035855165224866,True,10-11-я линии В.О.
308274,308260,162.77262030055877,True,
308285,10972323050,6.579241647071187,False,18-19-я линии В.О.
308348,308500,423.10932908868404,True,Благодатная улица
308348,2823889782,11.525003818059542,False,Варшавская улица
308348,188907962,497.06282976990326,False,Варшавская улица
308356,1832461469,164.06447388897925,True,Благодатная улица
308356,2003932061,455.158152593317,True,улица Севастьянова
308356,251006356,17.473905797673652,False,улица Севастьянова
308358,308379,728.8070578622848,True,Благодатная улица
308358,251006347,17.393239935991637,True,проспект Юрия Гагарина
308379,321598428,24.472847146070627,True,Благодатная улица
308379,3545996336,78.43206440757534,True,Витебский проспект
308401,251006350,23.314999581611552,True,Благодатная улица
308401,308402,49.70369861661507,True,Витебский проспект
308402,861303140,76.07867935580438,True,Витебский проспект
308455,26057337,14.100002216012244,False,Бассейная улица
308455,26057357,55.47469475238658,False,Бассейная улица
308455,1837548842,1108.676170779995,True,Витебский проспект
308476,26057479,50.5722778589209,True,
308476,566455352,944.0091568117502,True,Витебский проспект
308500,3539968381,11.34214786845262,True,Новоизмайловский проспект
308500,1313978201,404.2726884078675,True,Благодатная улица
309101,309105,28.617493867305654,False,Среднегаванский проспект
309101,151031089,325.97229007583917,True,Наличная улица
309105,309101,28.617493867305654,False,Среднегаванский проспект
309105,21743392,105.54130868598236,False,Среднегаванский проспект
309105,270062082,184.40686733167007,True,Наличная улица
314869,332345,28.8104600054851,True,улица Кондратенко
314869,1571692063,38.674293727374774,True,Витебский проспект
314931,1713560197,14.042987833244066,True,Черниговская улица
314931,1929705686,922.9370023450952,True,Рыбинская улица
314997,307268,260.72750574129003,True,Лиговский проспект
314997,219816,23.865956264572805,True,Прилукская улица
315027,2239766647,175.47031506395535,True,Глухоозёрское шоссе
315027,219156584,88.28747363004064,True,Глухоозёрское шоссе
315281,100337171,18.305259410102614,True,Литейный проспект
315281,3847433028,158.92578890251227,True,Фурштатская улица
315283,1595630501,126.31599473009933,True,Литейный проспект
315287,315281,129.32628739016005,True,Литейный проспект
320325,306930,188.07623905783674,False,
324898,3417609489,137.8506669274788,True,Краснопутиловская улица
324904,10591939,48.43726515177316,True,площадь Конституции
324918,1831762165,33.25485017694882,True,
324918,721110080,87.47598159137337,True,
324934,2277164878,150.16034094998142,True,набережная канала Грибоедова
324938,21991376,82.408997545843,True,Измайловский проспект
324938,21728387,100.3527575991158,False,8-я Красноармейская улица
324939,324938,80.04022336742828,True,Измайловский проспект
324939,1832086730,99.4340359246966,True,13-я Красноармейская улица
324941,21991371,97.94184681165578,True,11-я Красноармейская улица
324941,324946,80.32577708535733,True,Измайловский проспект
324946,246237347,16.376998596708592,True,12-я Красноармейская улица
324946,4001520287,270.06251248178074,True,Измайловский проспект
324954,324963,236.0550867943682,False,Рижский проспект
324954,11378668476,10.315654477785834,True,Рижский проспект
324954,6299290,196.2231404860412,True,Старо-Петергофский проспект
324956,21596673,970.2518508833912,False,"['Межевой канал', 'Рижский проспект', 'Гапсальская улица', 'Екатерингофский мост']"
324956,324960,202.23590679945474,False,улица Степана Разина
324956,394905989,53.57149541366153,False,улица Степана Разина
324956,324963,352.5185863251795,False,Рижский проспект
324958,1164580485,83.07063246900557,False,набережная Обводного канала
324958,324960,208.3808852329019,False,улица Степана Разина
324958,13637886346,58.67893645421326,True,"['улица Степана Разина', 'мост Степана Разина']"
324960,324956,202.23590679945477,False,улица Степана Разина
324960,324958,208.38088523290193,False,улица Степана Разина
324960,6299290,604.7528618559728,False,Курляндская улица
324963,8087549,248.77466882795005,False,Либавский переулок
324963,324954,236.05508679436824,False,Рижский проспект
324963,324956,352.51858632517946,False,Рижский проспект
327074,306919,153.58356697053944,False,Шкиперский проток
327074,10972323100,108.2827748563224,False,Детская улица
327074,5002149095,512.5161214766714,False,"['Шкиперский проток', 'улица Беринга']"
327078,306923,35.25746696623434,False,Карташихина улица
327078,306925,91.9626288160901,True,Шкиперский проток
327078,306919,187.1389622869038,False,Шкиперский проток
327078,312169198,250.57860793309987,False,Карташихина улица
327083,3723904161,186.95702602488117,False,Детская улица
327083,10972323001,315.8261919546182,False,Детская улица
327083,26056285,203.01102588567255,True,Среднегаванский проспект
327083,248680151,96.58399934345925,False,Среднегаванский проспект
327099,3383747731,113.12605461563821,True,Шкиперский проток
327099,2014678500,42.36959586153285,False,Опочинина улица
327099,9897598173,428.08235696553305,False,Опочинина улица
327171,12607209821,369.39712293415073,False,Боцманская улица
327171,21634021,279.6713456724466,True,улица Кораблестроителей
327296,10868106865,134.5935660449677,True,15-я линия В.О.
327296,4785910468,55.6720021609833,False,14-я линия В.О.
327296,10209841014,173.9722890252038,False,Камская улица
327296,2520350035,202.39327982281378,False,Камская улица
327498,3723904345,37.54455723729434,False,Волжский переулок
327501,327498,80.40150537418258,True,
327501,10972287780,456.5538957054422,True,4-5-я линии В.О.
332331,332351,266.5815349864258,False,Козловский переулок
332331,10278009146,479.90011611589307,False,Волковский проспект
332331,255470466,697.9861064586618,False,Волковский проспект
332339,1461848532,189.1940941868886,False,Витебская Сортировочная улица
332339,1711720827,693.0306412671275,False,Витебская Сортировочная улица
332339,1461848550,179.67377389772042,False,Витебская Сортировочная улица
332345,12401767847,28.714732524889946,True,Витебский проспект
332345,1933747672,183.86035763532266,True,улица Кондратенко
332351,332331,266.5815349864258,False,Козловский переулок
332351,9624473015,276.73511515883615,True,Козловский переулок
332351,255470466,714.2653055586313,False,Стрельбищенская улица
332363,1832359069,167.65044840793337,True,улица Салова
332363,255195361,658.1718785314481,False,улица Кованько
332367,332363,119.49154749540371,True,улица Салова
332367,26057107,20.624664990321364,True,
332370,26058656,19.54459694961283,True,Софийская улица
332370,2026197827,102.90643853108487,True,улица Салова
332438,1907077789,67.24555275776154,True,улица Салова
332438,1650892535,247.44288039832816,False,улица Салова
332449,1650892928,461.9553688103169,False,улица Салова
332449,1349582290,112.33675276885769,False,улица Самойловой
332449,1835431514,362.887317569974,False,улица Салова
